,age,job,marital,education,default,balance,housing,loan,contact,campaign,y,season,day_binned
0,58,management,married,tertiary,no,2143,yes,no,unknown,1,0,spring,1
1,44,technician,single,secondary,no,29,yes,no,unknown,1,0,spring,1
2,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,1,0,spring,1
3,47,blue-collar,married,unknown,no,1506,yes,no,unknown,1,0,spring,1
4,33,unknown,single,unknown,no,1,no,no,unknown,1,0,spring,1
5,35,management,married,tertiary,no,231,yes,no,unknown,1,0,spring,1
6,28,management,single,tertiary,no,447,yes,yes,unknown,1,0,spring,1
7,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,1,0,spring,1
8,58,retired,married,primary,no,121,yes,no,unknown,1,0,spring,1
9,43,technician,single,secondary,no,593,yes,no,unknown,1,0,spring,1
10,41,admin.,divorced,secondary,no,270,yes,no,unknown,1,0,spring,1
11,29,admin.,single,secondary,no,390,yes,no,unknown,1,0,spring,1
12,53,technician,married,secondary,no,6,yes,no,unknown,1,0,spring,1
13,58,technician,married,unknown,no,71,yes,no,unknown,1,0,spring,1
14,57,services,married,secondary,no,162,yes,no,unknown,1,0,spring,1
15,51,retired,married,primary,no,229,yes,no,unknown,1,0,spring,1
16,45,admin.,single,unknown,no,13,yes,no,unknown,1,0,spring,1
17,57,blue-collar,married,primary,no,52,yes,no,unknown,1,0,spring,1
18,60,retired,married,primary,no,60,yes,no,unknown,1,0,spring,1
19,33,services,married,secondary,no,0,yes,no,unknown,1,0,spring,1
20,28,blue-collar,married,secondary,no,723,yes,yes,unknown,1,0,spring,1
21,56,management,married,tertiary,no,779,yes,no,unknown,1,0,spring,1
22,32,blue-collar,single,primary,no,23,yes,yes,unknown,1,0,spring,1
23,25,services,married,secondary,no,50,yes,no,unknown,1,0,spring,1
24,40,retired,married,primary,no,0,yes,yes,unknown,1,0,spring,1
25,44,admin.,married,secondary,no,-372,yes,no,unknown,1,0,spring,1
26,39,management,single,tertiary,no,255,yes,no,unknown,1,0,spring,1
27,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,1,0,spring,1
28,46,management,single,secondary,no,-246,yes,no,unknown,2,0,spring,1
29,36,technician,single,secondary,no,265,yes,yes,unknown,1,0,spring,1
30,57,technician,married,secondary,no,839,no,yes,unknown,1,0,spring,1
31,49,management,married,tertiary,no,378,yes,no,unknown,1,0,spring,1
32,60,admin.,married,secondary,no,39,yes,yes,unknown,1,0,spring,1
33,59,blue-collar,married,secondary,no,0,yes,no,unknown,1,0,spring,1
34,51,management,married,tertiary,no,10635,yes,no,unknown,1,0,spring,1
35,57,technician,divorced,secondary,no,63,yes,no,unknown,1,0,spring,1
36,25,blue-collar,married,secondary,no,-7,yes,no,unknown,1,0,spring,1
37,53,technician,married,secondary,no,-3,no,no,unknown,1,0,spring,1
38,36,admin.,divorced,secondary,no,506,yes,no,unknown,1,0,spring,1
39,37,admin.,single,secondary,no,0,yes,no,unknown,1,0,spring,1
40,44,services,divorced,secondary,no,2586,yes,no,unknown,1,0,spring,1
41,50,management,married,secondary,no,49,yes,no,unknown,2,0,spring,1
42,60,blue-collar,married,unknown,no,104,yes,no,unknown,1,0,spring,1
43,54,retired,married,secondary,no,529,yes,no,unknown,1,0,spring,1
44,58,retired,married,unknown,no,96,yes,no,unknown,1,0,spring,1
45,36,admin.,single,primary,no,-171,yes,no,unknown,1,0,spring,1
46,58,self-employed,married,tertiary,no,-364,yes,no,unknown,1,0,spring,1
47,44,technician,married,secondary,no,0,yes,no,unknown,2,0,spring,1
48,55,technician,divorced,secondary,no,0,no,no,unknown,1,0,spring,1
49,29,management,single,tertiary,no,0,yes,no,unknown,1,0,spring,1
50,54,blue-collar,married,secondary,no,1291,yes,no,unknown,1,0,spring,1
51,48,management,divorced,tertiary,no,-244,yes,no,unknown,1,0,spring,1
52,32,management,married,tertiary,no,0,yes,no,unknown,1,0,spring,1
53,42,admin.,single,secondary,no,-76,yes,no,unknown,1,0,spring,1
54,24,technician,single,secondary,no,-103,yes,yes,unknown,1,0,spring,1
55,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,1,0,spring,1
56,38,management,single,tertiary,no,424,yes,no,unknown,1,0,spring,1
57,47,blue-collar,married,unknown,no,306,yes,no,unknown,1,0,spring,1
58,40,blue-collar,single,unknown,no,24,yes,no,unknown,1,0,spring,1
59,46,services,married,primary,no,179,yes,no,unknown,1,0,spring,1
60,32,admin.,married,tertiary,no,0,yes,no,unknown,1,0,spring,1
61,53,technician,divorced,secondary,no,989,yes,no,unknown,1,0,spring,1
62,57,blue-collar,married,primary,no,249,yes,no,unknown,1,0,spring,1
63,33,services,married,secondary,no,790,yes,no,unknown,1,0,spring,1
64,49,blue-collar,married,unknown,no,154,yes,no,unknown,1,0,spring,1
65,51,management,married,tertiary,no,6530,yes,no,unknown,1,0,spring,1
66,60,retired,married,tertiary,no,100,no,no,unknown,1,0,spring,1
67,59,management,divorced,tertiary,no,59,yes,no,unknown,1,0,spring,1
68,55,technician,married,secondary,no,1205,yes,no,unknown,2,0,spring,1
69,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,1,0,spring,1
70,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,1,0,spring,1
71,31,services,married,secondary,no,25,yes,yes,unknown,1,0,spring,1
72,54,management,married,secondary,no,282,yes,yes,unknown,1,0,spring,1
73,55,blue-collar,married,primary,no,23,yes,no,unknown,1,0,spring,1
74,43,technician,married,secondary,no,1937,yes,no,unknown,1,0,spring,1
75,53,technician,married,secondary,no,384,yes,no,unknown,1,0,spring,1
76,44,blue-collar,married,secondary,no,582,no,yes,unknown,1,0,spring,1
77,55,services,divorced,secondary,no,91,no,no,unknown,1,0,spring,1
78,49,services,divorced,secondary,no,0,yes,yes,unknown,1,0,spring,1
79,55,services,divorced,secondary,yes,1,yes,no,unknown,1,0,spring,1
80,45,admin.,single,secondary,no,206,yes,no,unknown,1,0,spring,1
81,47,services,divorced,secondary,no,164,no,no,unknown,1,0,spring,1
82,42,technician,single,secondary,no,690,yes,no,unknown,1,0,spring,1
83,59,admin.,married,secondary,no,2343,yes,no,unknown,1,1,spring,1
84,46,self-employed,married,tertiary,no,137,yes,yes,unknown,1,0,spring,1
85,51,blue-collar,married,primary,no,173,yes,no,unknown,2,0,spring,1
86,56,admin.,married,secondary,no,45,no,no,unknown,1,1,spring,1
87,41,technician,married,secondary,no,1270,yes,no,unknown,1,1,spring,1
88,46,management,divorced,secondary,no,16,yes,yes,unknown,2,0,spring,1
89,57,retired,married,secondary,no,486,yes,no,unknown,2,0,spring,1
90,42,management,single,secondary,no,50,no,no,unknown,1,0,spring,1
91,30,technician,married,secondary,no,152,yes,yes,unknown,2,0,spring,1
92,60,admin.,married,secondary,no,290,yes,no,unknown,1,0,spring,1
93,60,blue-collar,married,unknown,no,54,yes,no,unknown,1,0,spring,1
94,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,1,0,spring,1
95,36,management,married,tertiary,no,101,yes,yes,unknown,1,0,spring,1
96,55,blue-collar,married,secondary,no,383,no,no,unknown,1,0,spring,1
97,60,retired,married,tertiary,no,81,yes,no,unknown,1,0,spring,1
98,39,technician,married,secondary,no,0,yes,no,unknown,1,0,spring,1
99,46,management,married,tertiary,no,229,yes,no,unknown,1,0,spring,1
100,44,blue-collar,married,secondary,no,-674,yes,no,unknown,1,0,spring,1
101,53,blue-collar,married,primary,no,90,no,no,unknown,1,0,spring,1
102,52,blue-collar,married,primary,no,128,yes,no,unknown,1,0,spring,1
103,59,blue-collar,married,primary,no,179,yes,no,unknown,3,0,spring,1
104,27,technician,single,tertiary,no,0,yes,no,unknown,1,0,spring,1
105,44,blue-collar,married,secondary,no,54,yes,no,unknown,1,0,spring,1
106,47,technician,married,tertiary,no,151,yes,no,unknown,1,0,spring,1
107,34,admin.,married,secondary,no,61,no,yes,unknown,1,0,spring,1
108,59,retired,single,secondary,no,30,yes,no,unknown,1,0,spring,1
109,45,management,married,tertiary,no,523,yes,no,unknown,2,0,spring,1
110,29,services,divorced,secondary,no,31,yes,no,unknown,1,0,spring,1
111,46,technician,divorced,secondary,no,79,no,no,unknown,1,0,spring,1
112,56,self-employed,married,primary,no,-34,yes,yes,unknown,2,0,spring,1
113,36,blue-collar,married,primary,no,448,yes,no,unknown,1,0,spring,1
114,59,retired,divorced,primary,no,81,yes,no,unknown,1,0,spring,1
115,44,blue-collar,married,secondary,no,144,yes,no,unknown,2,0,spring,1
116,41,admin.,married,secondary,no,351,yes,no,unknown,1,0,spring,1
117,33,management,single,tertiary,no,-67,yes,no,unknown,1,0,spring,1
118,59,management,divorced,tertiary,no,262,no,no,unknown,1,0,spring,1
119,57,technician,married,primary,no,0,no,no,unknown,1,0,spring,1
